Id,Sic,SicDivId,DigitalSicCode
241,Growing of non-perennial crops,1,011
242,Growing of perennial crops,1,012
243,Plant propagation,1,013
244,Animal production,1,014
245,Mixed farming,1,015
246,Support activities to agriculture and post-harvest crop activities,1,016
247,"Hunting, trapping and related service activities",1,017
248,Silviculture and other forestry activities,2,021
249,Logging,2,022
250,Gathering of non-wood forest products,2,023
251,Support services to forestry,2,024
252,Fishing,3,031
253,Aquaculture,3,032
254,Mining of hard coal,4,051
255,Mining of lignite,4,052
256,Extraction of crude petroleum,5,061
257,Extraction of natural gas,5,062
258,Mining of iron ores,6,071
259,Mining of non-ferrous metal ores,6,072
260,"Quarrying of stone, sand and clay",7,081
261,Mining and quarrying n.e.c.,7,089
262,Support activities for petroleum and natural gas extraction,8,091
263,Support activities for other mining and quarrying,8,099
264,Processing and preserving of meat,9,101
265,"Processing and preserving of fish, crustaceans and molluscs",9,102
266,Processing and preserving of fruit and vegetables,9,103
267,Manufacture of vegetable and animal oils and fats,9,104
268,Manufacture of dairy products,9,105
269,"Manufacture of grain mill products, starches and starch products",9,106
270,Manufacture of other products,9,107
271,Manufacture of prepared animal feeds,9,108
272,Manufacturing of beverages,10,110
273,Manufacturing of tobacco products,11,120
274,"Spinning, weaving and finishing of textiles",12,131
275,Manufacture of other textiles,12,139
276,"Manufacturing of wearing apparel, except fur apparel",13,141
277,Manufacture of articles of fur,13,142
278,Manufacture of knitted and crocheted apparel,13,143
279,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",14,151
280,Manufacture of footwear,14,152
281,Sawmilling and planing of wood,15,161
282,"Manufacture of products of wood, cork, straw and plaiting materials",15,162
283,Manufacture of paper and paper products,16,170
284,Printing and service activities related to printing,17,181
285,Reproduction of recorded media,17,182
286,Manufacture of coke oven products,18,191
287,Manufacture of refined petroleum products,18,192
288,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",19,201
289,Manufacture of other chemicals products,19,202
290,Manufacture of man-made fibres,19,203
291,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",20,210
292,Manufacture of rubber products,21,221
293,Manufacture of plastic products,21,222
294,Manufacture of glass and glass products,22,231
295,Manufacture of non-metallic mineral products n.e.c,22,239
296,Manufacture of basic iron and steel,23,241
297,Manufacture of basic precious and other non-ferreous metals,23,242
298,Casting of metals,23,243
299,"Manufacture of structural metal products, tanks, reservoirs and steam generators",24,251
300,Manufacture of weapons and ammunition,24,252
301,Manufacture of other fabricated metal products; metalworking service activities,24,259
302,Manufacture of electronic components and boards,25,261
303,Manufacture of computers and peripheral equipment,25,262
304,Manufacture of communication equipment,25,263
305,Manufacture of consumer electronics,25,264
306,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",25,265
307,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",25,266
308,Manufacture of optical instruments and photographic equipment,25,267
309,Manufacture of magnetic and optical media,25,268
310,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",26,271
311,Manufacture of batteries and accumulators,26,272
312,Manufacture of wiring and wiring devices,26,273
313,Manufacture of electric lighting equipment,26,274
314,Manufacture of domestic appliances,26,275
315,Manufacture of other electrical equipment,26,279
316,Manufacture of general-purpose machinery,27,281
317,Manufacture of special-purpose machinery,27,282
318,Manufacture of motor vehicles,28,291
319,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,28,292
320,Manufacture of parts and accessories for motor vehicles,28,293
321,Building of ships and boats,29,301
322,Manufacture of railway locomotives and rolling stock,29,302
323,Manufacture of air and spacecraft and related machinery,29,303
324,Manufacture of military fighting vehicles,29,304
325,Manufacture of other transport equipment n.e.c,29,309
326,Manufacture of furniture,30,310
327,"Manufacture of jewellery, bijouterie and related articles",31,321
328,Manufacture of musical instruments,31,322
329,Manufacture of sports goods,31,323
330,Manufacture of games and toys,31,324
331,Manufacture of medical and dental instruments and supplies,31,325
332,Other manufacturing n.e.c.,31,329
333,"Repair of fabricated metal products, machinery and equipment",32,331
334,Installation of industrial machinery and equipment,32,332
335," Electric power generation, transmission and distribution",33,351
336,Manufacture of gas; distribution of gaseous fuels through mains,33,252
337," Steam and air conditioning supply",33,353
338,"Water collection, treatment and supply",34,360
339,Sewerage,35,370
340,Waste collection,36,381
341,Waste treatment and disposal,36,382
