id,group_id,class_id,sub_class_id,description,keywords
1,11,111,01110,Growing of cereals (except rice); leguminous crops and oil seeds,"b'Barley growing, Niger seed growing, Oats growing, Oil seeds growing, Pea growing, Peanut growing, Pigeon pea growing, Rape growing, Rye growing, Safflower seed growing, Sesame seed growing, Sorghum growing, Soya growing, Sunflower seed growing, Sunflower seed production, Mustard seed growing, Millet growing, Lupin growing, Bean growing, Broad bean growing, Castor bean growing, Cereal grains growing, except rice, Chick pea growing, Colza growing, Cottonseed growing, Cow pea growing, Dried leguminous vegetables growing, Grain maize growing, Groundnut growing, Leguminous crops growing, Lentil growing, Linseed growing, Wheat growing'"
2,11,112,01120,Growing of rice,b'Rice growing '
3,11,113,01130,"Growing of vegetables and melons, roots and tubers","b'Yam growing, Spinach growing, Shallot growing, Roots and tubers with a high starch or inulin content, Roots and tubers growing, Root vegetable growing, Potato growing, Parsnip growing, Parsley growing, Onion growing, Mushroom growing (cultivated), Melon growing, Sugar beet growing, Sugar beet seed production, Swede growing, Watermelon growing, Watercress growing, Vegetable seed growing, Vegetable growing (except potatoes), Turnip growing, Tuberous vegetable growing, Truffles growing , Tomato growing, Tarragon growing, Sweet potato growing, Sweet marjoram growing, Lettuce growing, Leek growing, Leafy or stem vegetables growing, Carrot growing, Capers growing, Cantaloupe growing, Cabbage growing, Bulb growing, Brussel sprout growing, Broccoli growing, Beetroot growing, Aubergine (egg-plant) growing, Asparagus growing, Artichoke growing, Cassava growing, Cauliflower growing, Chervil growing, Jerusalem artichoke growing, Herbs (culinary) growing, Gherkin growing, Garlic growing, Fruit bearing vegetables growing, Fennel growing, Egg plant growing, Cucumber growing, Cress growing, Courgette growing, Chicory growing, Alliaceous vegetable growing'"
4,11,114,01140,Growing of sugar cane,b'Sugar cane growing'
5,11,115,01150,Growing of tobacco,b'Tobacco growing'
6,11,116,01160,Growing of fibre crops,"b'Abaca and other vegetable textile fibre growing, Textile plants growing, Sisal growing and other textile fibre of the genus agave growing, Ramie and other vegetable textile fibre growing, Plants bearing vegetable fibres, retting of, Kenaf and other textile bast fibre growing, Jute textile bast fibre growing, Flax growing, Fibre crop growing, Cotton growing, True hemp growing'"
7,11,119,01190,Growing of other non-perennial crops,"b'Alfalfa growing, Sainfoin growing, Mangold growing, Forage production, Forage plants seed production including grasses, Forage kale and similar forage products growing, Fodder root growing, Fodder maize and other grass growing, Flower seed growing, Flower growing, Dried flower production, Cut flowers and flower bud production, Clover growing, Buckwheat growing, Beet seed growing , Seed production for flowers, fruit or vegetables (not for oil)'"
8,12,121,01210,Growing of grapes,"b'Grape production, Vineyards'"
9,12,122,01220,Growing of tropical and subtropical fruits,"b'Avocado growing, Bananas and plantain growing, Dates growing, Fig growing, Mango growing, Other tropical and subtropical fruit growing, Papaya growing, Pineapple growing'"
10,12,123,01230,Growing of citrus fruits,"b'Clementine growing , Grapefruit growing , Growing of citrus fruits, Lemon growing , Lime growing , Mandarin growing , Orange growing , Pomelo growing , Tangerine growing '"
11,12,124,01240,Growing of pome fruits and stone fruits,"b'Apple growing, Sour cherry growing, Sloe growing, Quince growing, Pome fruit growing, Plum growing, Pear growing, Peach growing, Nectarine growing, Cider apple growing, Cherry growing, Apricot growing, Stone fruit growing'"
12,12,125,01250,Growing of other tree and bush fruits and nuts,"b'Almond growing, Kiwi fruit growing, Locust bean growing, Loganberry growing, Mulberry growing, Pistachio growing, Raspberry growing, Redcurrant growing, Strawberry growing, Walnut growing, Hazelnut growing, Growing of berries, Blackberry (cultivated) growing, Blackcurrant growing, Blueberry growing, Cashew nut growing, Chestnut growing, Currant growing, Edible nuts growing, Fruit seed growing, Gooseberry growing, White currant growing'"
13,12,126,01260,Growing of oleaginous fruits,"b'Coconut growing, Growing of oleaginous fruits other than olives, Oil palms growing, Olive growing'"
14,12,127,01270,Growing of beverage crops,"b'Beverage crop growing other than wine grapes, Cocoa growing, Coffee growing, Mat\xef\xbf\xbd growing, Tea growing'"
15,12,128,01280,"Growing of spices, aromatic, drug and pharmaceutical crops","b'Anise growing, Spice crops growing, Plants used chiefly in pharmacy or for insecticidal, fungicidal or similar purposes, Pharmaceutical crops growing, Pepper growing, Nutmeg, mace and cardamoms growing, Hop cones growing, Ginger growing, Drug and narcotic crops growing, Coriander growing, Clove growing, Cinnamon growing, Chillies and peppers capsicum sop. Growing, Chilli growing, Bay growing, Basil growing, Badian growing, Aromatic crops growing, Vanilla growing'"
16,12,129,01290,Growing of other perennial crops,"b'Christmas tree growing, Rubber trees growing for harvesting of latex, Tree growing for extraction of sap, Vegetable plaiting material growing '"
17,13,130,01300,Plant propagation,"b'Mushroom spawn growing, Tree nurseries, Plants for planting or ornamental purposes, Plant propagation, Plant growing for tubers , Plant growing for roots , Plant growing for cuttings and slips, Plant growing for bulbs, Ornamental tree and shrub growing, Nursery (horticulture), Turf for transplanting'"
18,14,141,01410,Raising of dairy cattle,"b'Buffalo milk, raw, Cows milk (raw) production, Dairy farming'"
19,14,142,01420,Raising of other cattle and buffaloes,"b'Bovine semen production, Buffalo raising and breeding for meat, Cattle farming, Cattle raising and breeding for meat '"
20,14,143,01430,Raising of horses and other equines,"b'Animal hair (not carded or combed) including horsehair production, Ass farming and breeding, Hinny farming and breeding, Horse farming and breeding, Mule farming and breeding, Stud farming'"
21,14,144,01440,Raising of camels and camelids,"b'Camelid raising and breeding , Camels (dromedary) raising and breeding '"
22,14,145,01450,Raising of sheep and goats,"b'Goat farming, Goat milk (raw) production, Goat raising and breeding , Sheep farming, Sheep milk (raw) production, Sheep raising and breeding , Wool (raw) production'"
23,14,146,01460,Raising of swine/pigs,"b'Pig farming, Pig raising and breeding, Swine farming, Swine raising and breeding'"
